CASE-NBR,CASE-NBR-OBLR,MAILG-LVL-CLIENT,MAILG-CDE-CLIENT,NME-FLDS-BORR-CNT,ADRS-FLDS-BORR-CNT,NME-OBLR,NME-ADRS-OBLR-1,NME-ADRS-OBLR-2,NME-OBLR-KEY,NME-ADRS-OBLR-3,NME-ADRS-OBLR-4,ZIP-CDE,RACE-DESC-CDE,SEX-CDE,MRTL-STAT,TAX-EXEMPT-CDE,VET-CDE,DUE-DAY-PYMT,APPLT-TYP-CDE,NET-WORTH-AMT,LN-NBR-LST-ASGD,RCRD-LN-CNT,LN-CNT-EE,LN-CNT-OTC,LN-CNT-INSRD-FO,LN-CNT-DIR-FO,LN-CNT-INSRD-SW,LN-CNT-DIR-SW,LN-CNT-INSRD-RH,LN-CNT-DIR-RH,LN-CNT-INVSTR,LN-CNT-ASSOC,SUSP-CDE-ACCT,DTE-LST-RGSTR-ACCT,RGSTR-TYP-LST-TRNSCTN,SIS-TRF-CDE,EMPL-RELTNSHP-CDE,LRTF-SRVCG-CDE,MAILG-OFC-FSA,MAILG-CDE-FSA,ORGZTN-CDE,DTE-OAC-ESTBD,DTE-OAC-RSLVD,DTE-OAC-MRTM-EFCTV,PREVL-INDCTR,NBR-COMPLNTS
011330001593199,21081,T,19093,3,2,Song Dunlap,241 Palo Alto Terrace,Gil Reeves,92MCVZC8ZW0Z613HU52S,Wasco,Alaska,37488,4,7,1,2,1,19,8,2728894.41,26,00,0,1,0,1,1,1,1,1,2,2,2,2016-07-21,70,O,I,2,C,21027,C,2009-04-06,2013-04-09,2018-09-07,4,G
200770002931760,21035,U,21039,1,2,Nikole Chen,749 Rey Parkway,Shila Hensley,FOX6MTKWQKI3EQ2DTL6T,Lakeville,Idaho,82531,7,4,2,5,1,01,1,4048675.21,47,01,0,1,1,1,0,0,0,1,0,2,1,2016-10-19,86,T,H,7,V,01063,R,2009-06-06,2017-02-27,2019-09-18,3,B
212010005326281,05039,V,19111,1,3,Mitsue Strong,219 Ford Point,Ezequiel Boyd,UMN3AQPCW836PJHG03HN,Golden,Michigan,92700,8,4,1,2,2,03,8,4091423.53,44,02,0,0,0,1,1,1,0,0,0,2,1,2012-02-13,01,H,I,7,T,21097,V,2013-10-06,2009-04-03,2015-11-08,0,I
190310003866265,20197,V,05023,3,3,Alfredia Gibson,212 Standish Crescent,Markita Meadows,96BNWCFBAG4MHGUM84HZ,Greeley,Maine,31131,4,3,4,1,4,11,7,3742375.29,59,00,1,1,1,0,0,0,1,2,1,2,2,2020-07-03,39,R,R,5,T,19165,A,2006-05-01,2008-12-18,2016-02-28,0,U
201370005747806,08011,D,19181,1,3,Noble Nicholson,560 Wanda Field,Kelly Wolf,G88MA2J2F88QLY9AI2I3,Logansport,Pennsylvania,46504,7,8,4,2,4,12,1,694590.09,54,00,1,0,1,0,0,1,1,1,1,0,1,2016-02-29,33,M,P,3,C,19173,E,2009-10-03,2016-11-02,2017-05-20,0,Y
191630002020257,20123,T,21141,2,1,Kevin Fox,794 Crestwell Park,Pearle Griffith,9JDMZN18S31LMTDQUE3Q,Greenville,Alabama,84159,8,4,2,3,3,11,7,1442522.97,33,02,0,0,0,0,0,1,0,1,1,0,0,2012-09-02,15,W,B,6,U,05129,N,2013-11-10,2019-04-21,2018-03-09,3,J
060750003315928,19129,V,05013,1,1,Basilia Beach,534 Ellsworth Expressway,Kurt Sosa,4QEZJD7AB159UPVVGGU0,Pleasantville,Kansas,48829,6,6,1,4,3,03,5,967570.93,66,05,0,0,1,0,0,0,0,0,1,2,1,2017-08-13,37,P,W,6,U,19085,P,2005-07-04,2011-05-09,2020-06-01,4,X
060150002781972,20169,C,20137,3,3,Riva Michael,61 Maynard Stravenue,Hunter Shepherd,MA1XHIA84J6WVL186GXO,Maplewood,Oregon,34888,2,1,3,1,1,27,2,1681105.29,72,02,0,1,1,1,1,1,0,1,0,2,1,2016-03-24,51,J,W,7,D,21125,W,2008-08-01,2011-04-28,2019-02-03,1,V
201510004403070,01127,T,08089,1,1,Yevette Sosa,436 Brown Row,Maybell Slater,NR6BKYL8O0ZOQUO9WK71,Post Falls,Oregon,95971,7,8,1,2,2,02,8,2790949.94,21,00,1,0,0,1,0,1,1,2,0,0,1,2011-10-04,80,D,W,3,D,21235,E,2013-11-17,2008-10-07,2020-09-04,3,C
010510005128016,19121,V,01091,3,1,Cedrick Gardner,1389 Pelton Lake,Ulysses Burton,9B89WE1WRJGWLLCGU0YI,Rancho Palos Verdes,Maryland,53751,6,2,1,1,2,07,7,2701944.05,15,03,1,0,1,0,0,0,1,2,0,0,2,2020-10-30,66,B,V,6,U,08025,C,2004-05-19,2010-09-11,2015-05-10,0,E
051230006521271,20151,C,20023,3,3,Bernarda Waters,1377 Vine Place,Giovanni Gregory,XXWO6P9CE8MXC4BGX766,Buffalo Grove,Virginia,57751,5,2,4,1,4,13,4,1604906.58,81,03,0,0,0,1,1,1,1,0,0,0,2,2012-11-12,48,A,A,6,S,08000,T,2007-08-03,2015-06-11,2015-01-15,4,F
050810002043052,21173,C,19067,3,1,Kevin Welch,388 Rome Avenue,Sherlyn Hardin,LRQRT6G0QF0CKA88VB4W,Walla Walla,West Virginia,49877,6,6,1,2,3,28,2,2170968.48,46,02,0,0,1,1,0,1,0,1,0,0,2,2017-01-11,02,K,P,4,D,20043,B,2000-04-30,2012-09-30,2016-10-24,4,U
190090007863357,21175,T,21069,1,1,Veola Daniels,424 Osage Pass,Alan Santiago,035FOKOR3NZ7FN9BDD4R,Lindenhurst,Utah,96077,1,5,1,1,2,14,4,3324460.76,59,01,1,1,0,1,1,1,0,2,2,0,1,2018-07-29,72,D,Z,3,V,20155,E,2010-02-25,2019-10-11,2016-10-03,2,U
200310006416373,20103,D,19145,1,1,Sergio Morrison,398 Liggett Square,Emilio Fleming,1F3MAZ78E7C8UESQ1YHK,Oakland,Vermont,12268,8,2,2,5,3,04,2,4088937.95,18,04,0,1,1,0,0,0,0,1,2,1,2,2017-03-16,24,P,J,7,C,19185,U,2004-04-27,2009-07-26,2017-07-24,2,H
212110003289056,19159,S,19091,2,2,Giuseppe Sloan,111 Lupine Bend,Thanh Irwin,PQHKZ7T049SM9L2DKQ5I,Marana,Kentucky,78134,3,8,3,2,3,15,1,1496867.73,86,00,0,0,0,1,1,0,1,2,2,1,1,2019-07-22,81,C,Q,3,U,08105,W,2011-01-08,2013-03-01,2019-06-12,1,E
060490001141318,21017,D,05117,1,1,Jan Tanner,1281 Colusa Road,Wesley Beach,9VOKEFZLR5AS7WC2WOET,Syracuse,Nevada,61049,3,6,2,3,1,12,6,1453152.04,85,01,0,1,0,1,0,0,0,1,1,2,1,2021-04-28,31,U,M,3,T,19023,N,2006-07-18,2012-02-04,2015-07-02,4,F
011070003600933,06023,U,05059,1,3,Cary Finch,301 Kennedy Crossing,Jina Reilly,YY4GJAC71AQPS1CFZAK2,Naples,Maryland,53092,5,2,2,3,1,06,1,456085.88,41,00,0,1,1,1,1,0,0,2,0,0,1,2021-06-15,86,L,Y,4,C,21000,O,2014-10-12,2012-04-06,2019-05-24,0,Z
